年度,Y,YR,C,CR,PC,SALES,GR,G,PG,X,XR,PX,M,MR,PM,PY,PI,I_N,IR_N,K_N,KCG_N,D_N,DELTA_N,KTR_N,NP_N,I_H,IR_H,K_H,KCG_H,D_H,DELTA_H,KTR_H,NP_H,I_F,IR_F,K_F,KCG_F,D_F,DELTA_F,KTR_F,NP_F,I_G,IR_G,K_G,KCG_G,D_G,DELTA_G,KTR_G,NP_G,KTR_W,NP_W,I,IR,KR_N,KR_H,DPH,PH,WB_N,WB_H,WB_W,N,UN,W,N_W,N_N,LF,UR,T_N,T_H,T_F,T_W,T_G,B2,B2_N,B2_H,B2_F,B2_G,SBEN_H,SCON_H,OTR_H,STR_H,STR_N,STR_F,STR_W,STR_G,CPEN_H,CPEN_F,Y_H,YD_H,YDR_H,S_N,NL_N,S_H,NL_H,S_F,NL_F,S_G,NL_G,S_W,NL_W,CAB,TAU_N,TAU_H,TAU_SC,YFC,WS,ULC,YR_W,TIME,GOLD,D2007,D2008,D2009,D2010,D2011,D2014,D2020,YR_GAP,NW_N,NW_H,NW_F,NW_G,FNWR_H,NWR_H,IBA_H,IBL_H,EQA_H,PENA_H,NIB_N,NEQ_N,NIB_G,NIB_W,NEQ_W,NPEN_W,NEQ_F,PENL_F,IBA_FH,IBL_FH,NIB_F,IBATR_H,IBLTR_H,EQATR_H,PENATR_H,NIBTR_N,NEQTR_N,NIBTR_G,NIBTR_W,NEQTR_W,NPENTR_W,NEQTR_F,PENLTR_F,IBATR_FH,IBLTR_FH,NIBTR_F,IBACG_H,IBLCG_H,EQACG_H,PENACG_H,NIBCG_N,NEQCG_N,NIBCG_G,NIBCG_W,NEQCG_W,NPENCG_W,NEQCG_F,PENLCG_F,IBACG_FH,IBLCG_FH,NIBCG_F,FNW_H,FNW_N,FNW_F,FNW_G,FNW_W,FA_H,FL_H,FATR_H,FLTR_H,RA_H,RL_H,RN,CHI,PSI,EPS_N,EPS_H,EPS_F,EPS_G,EPS_W,FNL_H,GAPNL_H,FNL_N,GAPNL_N,FNL_F,GAPNL_F,FNL_G,GAPNL_G,FNL_W,GAPNL_W
1994,511958.8,447936.9,312266.3,290465.1,1.075056177144862,548405.5,33505.5,35015.4,1.045064243183955,45159.4,38685.5,1.1673469387755102,36446.5,48021.4,0.7589637120117281,1.1429261576797982,1.102,84293.5,76491.37931034483,743997.4,,72483.9,,4631.2,-5057.1,37201.4,33758.07622504537,397066.4,,26790.7,,-3205.1,21.6,1646.7,1494.2831215970962,7658.3,,1404.7,,-318.4,-134.0,32822.8,29784.75499092559,399461.0,,14139.2,,-1297.2,5169.5,189.6,0.0,155964.4,141528.49364791287,675133.7568058076,360314.33756805805,,1.0,262784.2,262822.6,-38.4,6455.0,194.0,40.71612703330751,-0.9431152419921272,6454.056884758008,6649.0,0.02917731989772898,48654.1,30826.4,2659.2,0.0,82139.6,220811.4,121703.6,70776.5,14192.3,14139.2,49558.4,57155.5,40884.0,33286.899999999994,5398.5,2845.1,484.0,-42014.49999999999,3133.1,3133.1,403562.9,372736.5,346713.50941856357,73630.3,-974.8999999999969,63603.3,23175.200000000004,13543.0,11711.9,18611.1,-20678.400000000005,-12428.4,-12238.8,12238.8,0.09503518642515765,0.08270292820799681,,483595.6,0.5433965900434164,0.5752671574404719,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8226.293647912797,23092.20000000007,1308216.9,-20215.49999999993,318133.4,847537.5700085151,1216882.3618821178,733535.7,312350.5,136875.4,353089.9,-565468.9,-155436.3,-81327.6,-110645.5,29601.6,0.0,-11040.699999999999,353089.9,312350.5,733535.7,757442.0,34975.100000000006,13645.0,-2833.1,20225.8,1850.9999999999995,-4845.0,-20672.0,-13678.300000000001,1439.5,0.0,6238.6,20225.8,13645.0,34975.100000000006,32499.300000000003,,,,,,,,,,,,,,,,911150.5,-720905.2,-27873.79999999993,-81327.6,-81043.9,1223501.0,312350.5,52367.8,13645.0,0.029619417296254297,0.030499711061771954,0.0730711345225975,,,,,,,,38722.8,15547.599999999999,-2994.0000000000005,-2019.1000000000035,-2818.0000000000036,-14529.900000000003,-20672.0,6.400000000005093,-12238.800000000001,-1.8189894035458565e-12
1995,525299.5,462177.3,319163.3,297787.0,1.071783858932727,566797.2,34735.9,36310.8,1.045339259958717,46887.1,40286.6,1.16383859645639,41497.6,55039.0,0.7539671869038318,1.136575725376387,1.089,92476.6,84918.82460973371,753217.1,-10898.3,72358.6,0.09725652267064375,5239.3,6002.3,35652.2,32738.475665748392,399831.5,-5921.6,26965.5,0.06791181525306599,-3258.8,-11143.8,1789.4,1643.1588613406796,7723.4,-298.6,1425.7,0.18616403118185498,-300.8,-581.7,34517.8,31696.78604224059,416461.3,-2791.0,14726.5,0.036865926836412065,-1960.0,5723.2,280.4,0.0,164436.0,150997.24517906338,691659.4123048668,367154.7291092746,-0.014913374689976286,0.9850866253100237,267016.8,267095.2,-78.4,6456.0,216.0,41.37162329615862,-1.8950187049411595,6454.104981295059,6672.0,0.03237410071942446,50615.4,30392.5,2607.1,0.0,83615.0,223677.6,125453.0,69658.1,13840.1,14726.5,53591.0,60977.6,42176.5,34789.9,6074.3,2121.2,660.8,-43646.200000000004,2429.1,2429.1,405987.1,375594.6,350438.75392377505,79348.7,-13890.900000000009,58860.3,31093.10000000001,13809.7,12301.200000000003,17741.5,-24459.500000000004,-9668.6,-9388.2,9388.2,0.09635531729994032,0.08091836251106913,0.1635943890657341,490694.4,0.5441610908948624,0.5825368069546458,103.438455,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6590.445179063419,-44915.19999999995,1384117.6,9311.999999999744,314647.0,918362.4961287841,1291414.8580090506,756946.2,323121.1,166122.1,384338.9,-590646.6,-207485.69999999998,-101814.30000000002,-132537.5,46609.4,0.0,-5245.799999999999,384338.9,323121.1,756946.2,824998.3999999999,22129.600000000002,13512.0,4812.9,23434.0,-1689.1999999999998,-5710.099999999999,-21855.2,-12008.099999999999,2619.9,0.0,-1722.7,23434.0,13512.0,22129.600000000002,35552.5,1280.8999999999978,-2741.4000000000233,24433.8,7815.0,-23488.5,-46339.3,1368.5000000000002,-9883.900000000001,14387.9,0.0,7517.6,7815.0,-2741.4000000000233,1280.8999999999978,32003.90000000002,984286.1,-798132.2999999999,1588.5999999997439,-101814.30000000002,-85928.1,1307407.2,323121.1,50376.5,13512.0,0.02352716745258778,0.024038046416653077,0.06077240623370192,0.017755826663398446,0.04983291790560987,7911.054060245238,2217.7641231165035,-22470.70951962272,5299.700000000004,2697.8913362608073,36864.5,5771.3999999999905,-7399.299999999999,6491.6000000000095,1778.2000000000007,-10523.000000000002,-21855.2,2604.300000000003,-9388.199999999999,1.8189894035458565e-12
1996,538659.6,475806.1,328723.6,305283.4,1.0767817706432776,588410.5,35005.0,36848.1,1.0526524782173974,51374.5,42903.6,1.1974403080394187,49750.8,60033.8,0.8287131582541835,1.1320989789748388,1.083,96971.9,89540.07386888273,775705.6,-667.9,73815.5,0.09800029765654551,5212.3,-2523.0,38738.2,35769.34441366574,416861.5,5784.9,27493.1,0.06876171587281142,-2895.6,-1893.1,1960.8,1810.5263157894738,8030.2,-148.0,1506.0,0.1949918429707124,357.8,-635.8,33793.4,31203.508771929828,440730.2,5840.7,15365.2,0.0368946646423089,-3089.3,5052.0,414.7,0.0,171464.29999999996,158323.45337026773,716256.3250230841,384913.66574330564,0.01446834479024289,0.999339198253266,272834.7,272962.4,-127.7,6512.0,225.0,41.91683046683047,-3.0465089697335603,6508.953491030266,6737.0,0.033397654742466976,52177.2,29501.3,4243.9,0.0,85922.4,232564.4,132250.3,69567.9,15380.9,15365.2,54833.4,62109.7,44674.6,37398.3,5343.6,2105.8,1058.3,-45906.00000000001,2312.9,2312.9,411606.9,382105.6,354858.9049494469,88918.8,-317.7999999999911,55694.8,15954.100000000004,14248.5,13281.3,17768.7,-24166.0,-7370.9,-6956.2,6956.2,0.09686488461358528,0.07720719089173254,0.16536366603779715,505399.1,0.5398400986467923,0.5753671733903793,107.470608,3.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5675.553370267793,1464.2000000000698,1412246.2,28915.6000000002,303868.70000000007,924407.0870603145,1311543.5629601283,787166.0,337669.4,137359.8,408528.3,-592605.7,-181635.7,-136861.49999999997,-149345.59999999998,44178.4,0.0,97.5,408528.3,337669.4,787166.0,878812.8,26189.5,15091.5,-1.6,16482.7,2663.5999999999995,-3154.7,-22870.8,-10356.7,3400.5,0.0,-244.2,16482.7,15091.5,26189.5,30563.9,4030.3000000000466,-543.1999999999534,-28760.7,7706.7,-4622.700000000001,29004.7,-12176.4,-6451.399999999999,-5831.5,0.0,5587.5,7706.700000000001,-543.1999999999534,4030.3000000000466,23250.5,995384.7,-774241.3999999999,20885.400000000198,-136861.49999999997,-105167.19999999998,1333054.1,337669.4,42670.600000000006,15091.5,0.022245117294192075,0.023171184596531398,0.04522382116226988,0.010276370853509423,0.04548537761855487,8268.815115754885,2447.767693436239,-19241.23012073076,5422.700000000015,897.8473115397046,27579.100000000006,11625.000000000002,-491.10000000000036,-173.30000000000928,2739.0000000000036,-10542.299999999996,-22870.8,1295.2000000000007,-6956.200000000001,-9.094947017729282e-13
1997,542508.0,475217.3,330151.4,302281.1,1.0921999423715212,592487.7000000001,36074.8,38035.9,1.0543620477452404,56808.4,46745.3,1.21527511856807,49979.7,58835.2,0.8494863619057978,1.1415998533723415,1.084,100209.5,92444.18819188191,789707.7,-9939.2,76268.2,0.09832106407379294,4062.3,648.5,33431.6,30840.959409594092,423410.6,1245.9,28128.4,0.06747660793812814,-2850.7,-4482.3,2093.9,1931.6420664206642,8413.8,-48.9,1661.4,0.20689397524345596,-314.7,-399.8,31757.0,29296.12546125461,459277.0,2885.8,16096.0,0.03652120957447436,-1809.1,4233.6,912.2,0.0,167492.0,154512.91512915128,728512.6383763837,390600.184501845,0.0029887624546761937,1.0023259857284916,278924.9,279054.2,-129.3,6557.0,236.0,42.55821259722434,-3.0381915054494795,6553.9618084945505,6793.0,0.03474164581186515,54127.3,30736.8,2271.4,0.0,87135.5,227006.6,123853.6,71853.7,15203.3,16096.0,57964.9,64150.0,45708.8,39523.70000000001,5126.4,976.1,831.0,-46457.20000000001,1172.9,1172.9,421405.5,390668.7,357689.72771755623,81863.9,-14931.800000000007,61690.2,29890.199999999997,15557.2,13548.4,17947.3,-19852.4,-13163.2,-12251.0,12251.0,0.09977235358741254,0.07867740620121345,0.16788552693286882,505931.5,0.5513096140485422,0.5911667411462749,111.405697,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5561.615129151265,33165.5,1448560.6,26421.499999999894,300249.6,938610.194186667,1326277.8579302102,817759.1,344697.9,119976.5,432112.3,-591004.9,-165537.3,-159027.40000000002,-172501.0,44912.9,0.0,647.9,432112.3,344697.9,817759.1,922533.2999999998,30021.1,5807.299999999999,-2104.2,8953.2,-165.0999999999999,-5108.5,-17369.300000000003,-16459.9,4208.9,0.0,3003.8,8953.2,5807.299999999999,30021.1,33994.3,571.9999999999782,1221.2000000000007,-15279.1,14630.8,1765.8999999999987,21206.9,-4796.599999999999,-6695.500000000001,-3474.4,0.0,-2453.4,14630.800000000001,1221.2000000000007,571.9999999999782,9726.199999999979,1025150.0,-756542.2,18007.699999999895,-159027.40000000002,-127588.1,1369847.9,344697.9,36870.1,5807.299999999999,0.019244420514550067,0.019620369024586456,0.044135161613659026,0.011656298844335115,0.04210112249261557,-648.2058034582151,2486.8931220019003,-10036.409391450969,5398.300000000007,-797.1779270926781,31062.8,1172.6000000000022,-5273.6,9658.200000000006,3831.1000000000095,-9717.29999999999,-17369.300000000003,2483.0999999999985,-12251.000000000002,-1.8189894035458565e-12
1998,534564.1,470507.4,330638.3,303680.0,1.0887720626975763,579158.0,37006.7,38529.6,1.041152007609433,54129.4,44991.6,1.2031001342472818,44593.9,54978.2,0.8111196801641378,1.13614387361389,1.067,91582.5,85831.77132146205,789146.1,-14517.5,77626.6,0.09829788920634813,28067.0,4115.4,29834.8,27961.387066541705,418589.8,-6821.7,27833.9,0.06573737171435955,-2397.1,-9444.7,2166.8,2030.7403936269918,8763.3,-19.3,1798.0,0.21369654615037204,985.5,585.8,32276.6,30249.859418931585,465872.2,-9355.8,16325.6,0.03554630430001938,-28764.1,4743.4,2108.6,0.0,155860.7,146073.75820056236,739593.3458294283,392305.3420805998,-0.01611131133703313,0.9861771997112213,273237.2,273370.2,-133.0,6495.0,294.0,42.08933025404157,-3.1599457439033225,6491.840054256097,6789.0,0.04330534688466637,52636.7,26712.4,3443.1,0.0,82792.1,223563.9,122468.4,69848.8,14921.2,16325.6,59971.3,64865.7,47690.2,42795.8,4948.2,1404.2,1362.7,-50510.899999999994,1482.0,1482.0,415814.5,389102.1,357377.00601533457,85062.0,17431.1,59945.8,37158.600000000006,13354.4,11587.3,9104.9,-56679.2,-14349.5,-12240.9,12240.9,0.09846658239863096,0.06865138995651784,0.16603761703970651,496801.1,0.5499931461504414,0.5917993965353119,114.617352,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6266.458200562338,26973.79999999993,1489168.9000000001,26084.50000000001,275618.1,983290.3843505125,1367750.8369478069,837887.6000000001,342388.3,126988.2,448091.6,-582724.0,-179448.30000000002,-190254.1,-185630.0,50156.1,0.0,2304.0,448091.60000000003,342388.3,837887.6000000001,958608.1000000001,21619.199999999997,433.39999999999986,3475.6,9593.3,32977.5,-1180.1,-57597.3,-15314.400000000001,3073.6,0.0,-5369.1,9593.300000000001,433.39999999999986,21619.199999999997,39934.2,-1490.6999999998807,-2743.0000000000346,3536.1,6386.0,-24696.6,-12730.899999999998,26370.6,2185.4,2169.6,0.0,7025.2,6386.0,-2743.0000000000346,-1490.6999999998807,-3859.399999999845,1070579.1,-762172.3,17321.20000000001,-190254.1,-135473.9,1412967.4,342388.3,34688.09999999999,433.39999999999986,0.01588554359797185,0.017572738320789583,0.035236034335133906,0.01906458544388485,0.03814263097810454,1759.0967759644263,2056.2977644916973,-13318.308234391281,6046.399999999992,713.4136939351374,34254.69999999999,-2903.900000000016,31797.4,14366.300000000003,3786.000000000002,-7801.299999999997,-57597.3,-918.1000000000058,-12240.800000000001,0.09999999999854481
1999,530298.6,473320.1,333650.0,309036.3,1.0796466305091021,575309.3,38144.8,39144.4,1.0262054067657977,52827.0,47750.7,1.1063083891963887,45010.6,58613.9,0.7679168251899293,1.120380478242948,1.052,86207.6,81946.38783269962,786583.9,-11058.6,77711.2,0.09847504790304355,3400.1,3433.6,29676.1,28209.22053231939,416452.4,-4343.1,27470.4,0.06562606160016322,-2245.3,-7540.0,2028.1,1927.8517110266157,8782.1,-84.6,1924.7,0.21963187383748134,3300.8,-63.3,31776.1,30205.418250950566,476801.2,-4473.6,16373.5,0.03514590482110759,-6022.3,4169.7,1566.7,0.0,149687.90000000002,142288.8783269962,747703.3269961977,395867.30038022815,-0.010375551434841462,0.9759450674517496,269041.8,269177.0,-135.2,6455.0,320.0,41.700542215336945,-3.24216407791156,6451.757835922089,6775.0,0.047232472324723246,51326.2,25892.8,2894.6,0.0,80113.6,225680.3,122081.5,72232.5,14992.9,16373.5,62198.3,64299.0,49667.1,47566.399999999994,4712.7,1050.0,1057.5,-54386.59999999999,821.7,821.7,416135.7,390242.9,361454.2841818372,88675.0,2433.899999999994,57414.5,33033.1,14100.2,15436.2,2673.4,-39294.7,-13605.0,-12038.3,12038.3,0.09678735716066382,0.06635047043777093,0.16524968639336565,494722.1,0.5438240984180815,0.5829316257296184,119.069005,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5286.67832699616,-41053.90000000002,1548886.6,17295.299999999836,251401.2,1048893.3767764422,1434623.6594742395,851823.6,348150.4,174276.5,454484.5,-533223.4,-294414.4,-225400.0,-192247.40000000002,104337.8,0.0,15800.1,454484.5,348150.4,851823.6,950870.7999999999,16958.999999999996,6408.5,4995.6,4812.8,40378.3,-4093.3999999999996,-38429.600000000006,-24178.2,12139.9,0.0,-13042.1,4812.8,6408.5,16958.999999999996,22229.5,-3023.000000000113,-646.3999999999651,42292.7,1580.1,9122.3,-110872.7,3283.7,17560.800000000003,42041.8,0.0,26538.2,1580.0999999999995,-646.3999999999651,-3023.000000000113,-29966.800000000152,1132434.2,-827637.8,8513.199999999837,-225400.0,-87909.60000000002,1480584.6,348150.4,26767.399999999998,6408.5,0.015510253531364945,0.015339060360120223,0.02953327417923691,0.013653514689189029,0.03490737161776744,613.4828719065699,2490.6647459463566,-9100.105623381365,6421.099999999989,-854.8419944715242,20358.899999999998,-12674.2,36284.9,33851.00000000001,-6175.899999999997,-21612.1,-38429.600000000006,865.0999999999913,-12038.300000000001,-1.8189894035458565e-12
2000,537614.2,485623.0,337711.4,315093.3,1.0717822308503546,587857.8,38848.3,39763.9,1.0235685988833487,56468.4,52403.3,1.0775733589296856,50243.7,64668.3,0.776944809125955,1.107060827020137,1.04,92678.9,89114.32692307691,795111.6,-6233.2,77918.0,0.09905872723812424,3771.3,4988.1,29452.0,28319.23076923077,417722.7,-944.1,27237.6,0.06540387328779951,-2093.2,-9118.4,2224.9,2139.326923076923,8749.4,-288.9,1968.7,0.22417189510481547,3485.3,251.3,29558.3,28421.442307692305,489822.1,133.8,16671.2,0.03496467710232273,-5815.3,3878.9,651.7,0.0,153914.09999999998,147994.3269230769,764530.3846153846,401656.4423076923,-0.0022670057850549064,0.9737325943379407,270609.7,270736.4,-126.7,6453.0,319.0,41.9551216488455,-3.019893520043851,6449.980106479956,6772.0,0.04710572947430597,51777.4,29651.0,3418.0,0.0,84846.4,235118.8,133448.6,69320.1,15679.0,16671.2,63024.9,64593.6,51886.8,50318.10000000001,4366.2,563.9,875.0,-56123.20000000001,345.1,345.1,416799.6,387148.6,361219.4612452525,102281.3,8385.60000000001,49782.2,27355.399999999998,13348.1,14357.2,4640.6,-34611.9,-13580.4,-12928.699999999999,12928.699999999999,0.09630958408464659,0.07658816278813872,0.1655215251834178,505728.5,0.5350888866259268,0.568825731024232,124.040978,7.0,792.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4047.926923076913,48672.09999999998,1561842.6,17181.299999999967,221284.90000000002,1067492.8796797206,1457238.7515333507,857401.6000000001,345863.3,148262.8,484318.8,-513459.30000000005,-232980.19999999998,-268537.19999999995,-212204.80000000002,75422.2,0.0,9295.2,484318.8,345863.3,857401.6000000001,994993.8000000002,2762.499999999998,-2725.3,5215.4,4784.1,18550.999999999996,-7132.7,-31839.599999999995,-13204.599999999999,276.0,0.0,1641.3,4784.1,-2725.3,2762.499999999998,26493.199999999997,2815.5000000001182,438.19999999996526,-31229.1,25050.2,1213.1000000000022,68566.9,-11297.6,-6752.8,-29191.6,0.0,-8146.2,25050.2,438.19999999996526,2815.5000000001182,17629.800000000156,1144119.9000000001,-746439.5,8431.899999999965,-268537.19999999995,-136782.60000000003,1489983.2000000002,345863.3,12761.999999999998,-2725.3,0.008156621121304181,0.010099365847720762,0.017363329922260303,0.005574455597280566,0.0318756745279542,1747.232870984968,3094.8033891004743,-4943.405001312929,5666.900000000025,-3007.9312587725053,15487.3,-11868.099999999999,11418.299999999996,3032.699999999986,17862.6,3505.399999999998,-31839.599999999995,2772.3000000000065,-12928.599999999999,0.1000000000003638
2001,527410.5,482113.5,339782.5,321515.4,1.056815629982265,576888.5,39550.9,41473.3,1.0486057207294903,53278.8,48405.3,1.100681123761241,49478.0,62626.2,0.7900527255365966,1.093955054152186,1.02,85065.6,83397.64705882354,790287.0,-12200.3,77689.9,0.09770942846262085,3867.9,4706.7,26973.0,26444.11764705882,412179.9,-5772.1,26743.7,0.06402261596030094,-1872.1,-8222.4,2558.8,2508.6274509803925,8915.3,-392.6,2000.3,0.22862139118110958,565.1,105.0,27756.5,27212.254901960783,493469.1,-7427.9,16681.6,0.034056446207715,-2954.5,3410.7,393.5,0.0,142353.90000000002,139562.64705882355,774791.1764705882,404097.9411764706,-0.013818018508450703,0.9602775393270974,264482.3,264606.8,-124.5,6389.0,348.0,41.41599624354359,-3.0060848776373095,6385.9939151223625,6737.0,0.051655039335015585,50635.299999999996,28543.7,2997.2,0.0,82176.2,226545.6,123974.7,66851.6,19037.8,16681.6,66067.3,68212.8,53348.8,51203.3,4398.9,1493.6,627.2,-57723.0,1214.7,1214.7,404559.6,376015.9,355800.8505289708,95132.8,9228.399999999998,37448.1,16825.4,17840.1,15741.4,1028.8,-33092.9,-11399.8,-11006.3,11006.3,0.09600737945111065,0.07591088568329159,0.17619281071919157,491027.9,0.5386298823345883,0.5785395403337089,127.208604,8.0,984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4294.547058823577,120916.30000000005,1560092.1999999997,-1012.100000000024,203034.3999999999,1086199.2077267664,1476219.8398089365,867151.2,342385.4,125369.4,497777.1,-484114.1,-185256.6,-290434.70000000007,-238774.7,61579.2,0.0,-1692.0,497777.1,342385.4,867151.2,1014307.5,6382.700000000001,-5075.4,-1301.0,3403.9,23291.4,-1665.5,-37366.5,-12073.4,1067.1,0.0,1899.4,3403.9,-5075.4,6382.700000000001,26148.499999999993,3366.8999999998596,1597.5000000000346,-21592.4,10054.4,6053.800000000002,49389.100000000006,15469.0,-14496.5,-14910.1,0.0,-12886.6,10054.4,1597.5000000000346,3366.8999999998596,-6834.800000000176,1147912.2999999998,-669370.7,-9927.400000000023,-290434.70000000007,-177195.5,1490297.7,342385.4,8485.6,-5075.4,0.006130303458035923,0.00659519944483614,0.01409198005610211,0.00923898254014719,0.029560074892818533,-7920.23677244717,2711.102579446626,1975.316189489342,6030.000000000012,-5113.9424354522225,13561.0,-3264.4000000000015,21625.9,12397.500000000004,13185.899999999992,-2555.5000000000073,-37366.5,-4273.5999999999985,-11006.3,0.0
2002,523465.9,486545.5,339652.6,325740.5,1.0427091503819759,574764.1,40175.2,41850.0,1.0416874091479322,57879.7,54319.0,1.0655516485944143,51298.2,65643.7,0.7814641770649735,1.0758827283368153,1.001,80238.2,80158.04195804197,783893.8,-9204.7,77426.7,0.09797288833044197,3437.5,-4258.1,26198.4,26172.227772227776,408165.4,-3990.9,26222.0,0.0636178523018711,-1472.3,1820.1,2527.5,2524.9750249750255,9000.2,-310.3,2132.3,0.23917310690610527,1309.3,-498.9,26417.7,26391.308691308695,499013.3,-4227.2,16646.3,0.03373321652764074,-3637.4,2936.8,362.8,0.0,135381.80000000002,135246.55344655347,783110.6893106895,407757.6423576424,-0.009682422650886178,0.9509797263291795,256611.7,256723.4,-111.7,6318.0,360.0,40.633649889205444,-2.748953153471791,6315.251046846528,6678.0,0.05390835579514825,48893.899999999994,24581.9,1873.8,0.0,75349.6,232523.4,128570.0,66495.9,20811.2,16646.3,68716.0,68522.6,52850.7,53044.09999999999,4509.9,853.0,976.8,-59383.799999999996,442.3,442.3,397197.1,372615.2,357352.95874549466,102128.5,29585.9,33404.9,3914.0999999999995,20150.5,19431.2,-7614.0,-40605.9,-13144.9,-12782.1,12782.1,0.09340417398726449,0.06597127546058239,0.18223325130666018,489135.1,0.5246233607034131,0.5614449661691356,131.077232,9.0,980.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3292.053446553473,149217.90000000002,1567164.2999999998,1964.000000000222,163200.10000000003,1111526.545609985,1502973.575542039,869544.3999999999,336468.80000000005,108987.4,516935.9,-503851.0,-130824.90000000001,-335813.19999999995,-226300.0,45806.9,0.0,-23969.4,516935.89999999997,336468.80000000005,869544.3999999999,1066944.7,5413.900000000001,-6485.3,-1366.1,-57.5,16630.800000000003,11594.900000000001,-36680.899999999994,-13232.7,450.7,0.0,-10679.5,-57.5,-6485.3,5413.900000000001,33282.799999999996,-3020.700000000047,568.7000000000235,-15015.9,19216.3,-36367.7,42836.8,-8697.6,25707.4,-16223.0,0.0,-11597.9,19216.3,568.7000000000235,-3020.700000000047,19354.39999999993,1158998.9,-634675.9,-7036.199999999779,-335813.19999999995,-180493.1,1495467.7,336468.80000000005,3990.3000000000006,-6485.3,0.006454874529696242,0.005251304132805181,0.011463516026171695,0.017966971217219792,0.027153720008413405,-6237.673757922195,2106.891598679824,3113.4990545447436,5716.69999999999,-5170.083403677657,10475.6,6561.500000000001,28225.700000000004,-1360.199999999997,10761.599999999995,-8669.600000000006,-36680.899999999994,3925.0000000000073,-12782.0,0.1000000000003638
2003,526219.9,495922.8,339251.7,328672.1,1.032188920203449,578189.9,41033.4,42311.7,1.031152670751144,61576.6,59757.5,1.0304413671924026,51970.0,67247.6,0.7728156841285041,1.0610923716352627,0.987,82990.4,84083.48530901723,785983.7,-4200.5,76700.0,0.0978448866415323,4377.3,1633.7,25571.0,25907.801418439718,408502.0,697.0,25931.4,0.06353159772974387,-1465.5,-4149.8,2799.7,2836.5754812563323,9695.3,156.0,2260.6,0.25117219617341835,-3521.1,-413.7,23688.8,24000.81053698075,510610.3,4633.5,16725.3,0.03351674193854152,49.4,2929.7,559.8,0.0,135049.9,136828.67274569403,796336.0688956433,413882.4721377913,0.0017076410690372089,0.9526036583656811,253505.9,253616.6,-110.7,6320.0,342.0,40.1292088607595,-2.7585891459786147,6317.2414108540215,6662.0,0.05133593515460823,49143.7,23250.5,1450.6,0.0,73844.8,240758.7,134516.1,67305.6,22211.7,16725.3,66378.9,65906.0,53370.7,53843.59999999999,5573.6,880.7,684.4,-60982.29999999999,609.0,609.0,395026.9,371776.4,360182.51380447025,110014.8,29768.000000000007,33133.8,10247.100000000002,21477.6,15570.499999999998,-10436.6,-37005.7,-17830.5,-17270.7,17270.7,0.09339004473224975,0.06253893469300364,0.17687415864945927,494264.6,0.5128951173116586,0.5460549214777455,136.531469,10.0,1083.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3121.272745694092,160441.59999999986,1592308.2999999998,-22394.700000000117,150040.5,1146889.17583679,1542651.9979367233,869922.9999999999,331522.5,160042.5,485363.3,-413817.7,-211724.40000000002,-360569.8,-253395.99999999997,88875.3,0.0,-37193.4,485363.30000000005,331522.5,869922.9999999999,1028867.1999999998,1397.300000000001,-3943.2,-1315.0,301.1,46367.799999999996,-4019.4000000000005,-38837.00000000001,-32387.299999999996,15116.6,0.0,-9782.199999999999,301.10000000000014,-3943.2,1397.300000000001,24856.5,-1018.7000000000244,-1003.1000000000467,52370.1,-31873.7,43665.50000000001,-76880.09999999999,14080.400000000001,5291.3,27951.8,0.0,-3441.7999999999997,-31873.700000000004,-1003.1000000000467,-1018.7000000000244,-62933.999999999985,1183806.2999999998,-625542.1000000001,-32090.000000000116,-360569.8,-164520.69999999995,1515328.7999999998,331522.5,383.4000000000011,-3943.2,0.006028004777434325,0.005339909055946429,0.007390247325205829,0.022531643440965747,0.023669085470751795,-4162.8959866973455,1724.134763642156,4835.232306804934,6136.899999999985,-7235.511061213319,4326.600000000001,-5920.500000000001,42348.399999999994,12580.399999999987,9432.699999999999,-6137.799999999999,-38837.00000000001,-1831.3000000000102,-17270.699999999997,3.637978807091713e-12
